pollster,sponsors,display_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,office_type,stage,party,candidate_name,pct,sample_size,num_trump
SurveyUSA,KSTP-TV Minneapolis | KAAL-TV | WDIO-TV Duluth,SurveyUSA,2.8,-1.3,Online Panel,8,Minnesota,1/24/24,2024-01-29,U.S. President,caucus,REP,Donald Trump,76,537,408
Ipsos,Reuters,Ipsos,2.8,-0.9,Probability Panel,9.5,National,1/22/24,2024-01-24,U.S. President,primary,REP,Donald Trump,64,554,355
Suffolk,Boston Globe | NBC10 Boston,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/21/24,2024-01-22,U.S. President,primary,REP,Donald Trump,59.6,500,298
Suffolk,Boston Globe | NBC10 Boston,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/20/24,2024-01-21,U.S. President,primary,REP,Donald Trump,57.4,500,287
Suffolk,Boston Globe | NBC10 Boston,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/19/24,2024-01-20,U.S. President,primary,REP,Donald Trump,54.6,500,273
Emerson,7News/WHDH,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,New Hampshire,1/18/24,2024-01-20,U.S. President,primary,REP,Donald Trump,50,673,336
Suffolk,Boston Globe | NBC10 Boston,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/18/24,2024-01-19,U.S. President,primary,REP,Donald Trump,52.6,500,263
Suffolk,Boston Globe | NBC10 Boston,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/17/24,2024-01-18,U.S. President,primary,REP,Donald Trump,51.8,500,259
Echelon Insights,NA,Echelon Insights,2.7,-0.8,Online Panel,9,National,1/16/24,2024-01-18,U.S. President,primary,REP,Donald Trump,68,832,566
Echelon Insights,NA,Echelon Insights,2.7,-0.8,Online Panel,9,National,1/16/24,2024-01-18,U.S. President,primary,REP,Donald Trump,76,832,632
Echelon Insights,NA,Echelon Insights,2.7,-0.8,Online Panel,9,National,1/16/24,2024-01-18,U.S. President,primary,REP,Donald Trump,77,832,641
Suffolk,Boston Globe | NBC10 Boston,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/16/24,2024-01-17,U.S. President,primary,REP,Donald Trump,50.2,500,251
Suffolk,Boston Globe | NBC10 Boston,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/15/24,2024-01-16,U.S. President,primary,REP,Donald Trump,50.4,500,252
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,1/14/24,2024-01-16,U.S. President,primary,REP,Donald Trump,68,588,400
University of Massachusetts Lowell/YouGov,NA,University of Massachusetts Lowell Center for Public Opinion/YouGov,2.9,-1,Online Panel,9,New Hampshire,1/6/24,2024-01-16,U.S. President,primary,REP,Donald Trump,50,600,300
Emerson,Nexstar,Emerson College,2.9,-1.1,IVR/Online Panel/Email,7,Texas,1/13/24,2024-01-15,U.S. President,primary,REP,Donald Trump,68.6,685,470
Emerson,Inside California Politics,Emerson College,2.9,-1.1,IVR/Online Panel,7,California,1/11/24,2024-01-14,U.S. President,primary,REP,Donald Trump,61.8,377,233
Emerson,NA,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,Iowa,1/11/24,2024-01-13,U.S. President,caucus,REP,Donald Trump,56.5,532,301
YouGov,CBS News,YouGov,3,-1.1,Online Panel,9,National,1/10/24,2024-01-12,U.S. President,primary,REP,Donald Trump,69,721,497
Selzer,Des Moines Register | NBC News | Mediacom,Selzer & Co.,2.8,-1.2,Live Phone,7.5,Iowa,1/7/24,2024-01-12,U.S. President,caucus,REP,Donald Trump,48,705,338
Emerson,7News/WHDH,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,New Hampshire,1/8/24,2024-01-10,U.S. President,primary,REP,Donald Trump,44.1,751,331
Suffolk,NA,Suffolk University,2.9,-1,Live Phone,8,Iowa,1/6/24,2024-01-10,U.S. President,caucus,REP,Donald Trump,54,500,270
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,1/7/24,2024-01-09,U.S. President,primary,REP,Donald Trump,65,580,377
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,1/7/24,2024-01-09,U.S. President,primary,REP,Donald Trump,65,533,346
YouGov,NA,YouGov,3,-1.1,Online Panel,9,National,1/5/24,2024-01-09,U.S. President,primary,REP,Donald Trump,66,367,242
Ipsos,Reuters,Ipsos,2.8,-0.9,Probability Panel,9.5,National,1/3/24,2024-01-09,U.S. President,primary,REP,Donald Trump,49,1941,951
Emerson,NA,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,Nevada,1/5/24,2024-01-08,U.S. President,caucus,REP,Donald Trump,73,277,202
Quinnipiac,NA,Quinnipiac University,2.8,-0.5,Live Phone,9,Pennsylvania,1/4/24,2024-01-08,U.S. President,primary,REP,Donald Trump,61,651,397
Suffolk,Boston Globe | USA Today,Suffolk University,2.9,-1,Live Phone,8,New Hampshire,1/3/24,2024-01-07,U.S. President,primary,REP,Donald Trump,45.82,491,225
Emerson,NA,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web/Email,7,South Carolina,1/2/24,2024-01-03,U.S. President,primary,REP,Donald Trump,54.4,584,318
YouGov,Economist,YouGov,3,-1.1,Online Panel,9,National,12/31/23,2024-01-02,U.S. President,primary,REP,Donald Trump,63,529,333
